id,state,latitude,longitude,name
2,AK,63.588753,-154.493062,Alaska
1,AL,32.318231,-86.902298,Alabama
5,AR,35.20105,-91.831833,Arkansas
4,AZ,34.048928,-111.093731,Arizona
6,CA,36.778261,-119.417932,California
8,CO,39.550051,-105.782067,Colorado
9,CT,41.603221,-73.087749,Connecticut
11,DC,38.905985,-77.033418,District of Columbia
10,DE,38.910832,-75.52767,Delaware
12,FL,27.664827,-81.515754,Florida
13,GA,32.157435,-82.907123,Georgia
15,HI,19.898682,-155.665857,Hawaii
19,IA,41.878003,-93.097702,Iowa
16,ID,44.068202,-114.742041,Idaho
17,IL,40.633125,-89.398528,Illinois
18,IN,40.551217,-85.602364,Indiana
20,KS,39.011902,-98.484246,Kansas
21,KY,37.839333,-84.270018,Kentucky
22,LA,31.244823,-92.145024,Louisiana
25,MA,42.407211,-71.382437,Massachusetts
24,MD,39.045755,-76.641271,Maryland
23,ME,45.253783,-69.445469,Maine
26,MI,44.314844,-85.602364,Michigan
27,MN,46.729553,-94.6859,Minnesota
29,MO,37.964253,-91.831833,Missouri
28,MS,32.354668,-89.398528,Mississippi
30,MT,46.879682,-110.362566,Montana
37,NC,35.759573,-79.0193,North Carolina
38,ND,47.551493,-101.002012,North Dakota
31,NE,41.492537,-99.901813,Nebraska
33,NH,43.193852,-71.572395,New Hampshire
34,NJ,40.058324,-74.405661,New Jersey
35,NM,34.97273,-105.032363,New Mexico
32,NV,38.80261,-116.419389,Nevada
36,NY,43.299428,-74.217933,New York
39,OH,40.417287,-82.907123,Ohio
40,OK,35.007752,-97.092877,Oklahoma
41,OR,43.804133,-120.554201,Oregon
42,PA,41.203322,-77.194525,Pennsylvania
72,PR,18.220833,-66.590149,Puerto Rico
44,RI,41.580095,-71.477429,Rhode Island
45,SC,33.836081,-81.163725,South Carolina
46,SD,43.969515,-99.901813,South Dakota
47,TN,35.517491,-86.580447,Tennessee
48,TX,31.968599,-99.901813,Texas
49,UT,39.32098,-111.093731,Utah
51,VA,37.431573,-78.656894,Virginia
50,VT,44.558803,-72.577841,Vermont
53,WA,47.751074,-120.740139,Washington
55,WI,43.78444,-88.787868,Wisconsin
54,WV,38.597626,-80.454903,West Virginia
56,WY,43.075968,-107.290284,Wyoming
